#stages0 = writecat:docker:DR9.6.4
#stages1 = writecat:docker:DR9.6.7
#stages2 = srcs:docker:DR9.6.4 writecat:docker:DR9.6.5b
#stages3 = srcs:docker:DR9.6.4 writecat:docker:DR9.6.5
#stages4 = srcs:docker:DR9.6.4 writecat:docker:DR9.6.7b
#stages5 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.5b
#stages6 = writecat:docker:DR9.6.7b
#stages7 = writecat:docker:DR9.6.8
#stages8 = writecat:docker:DR9.6.5
#stages9 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.7b
1958m092 file0_rs0_skip0 stages0
1958p307 file0_rs0_skip0 stages0
1958p310 file0_rs0_skip0 stages0
1958p312 file0_rs0_skip0 stages0
1959m067 file0_rs0_skip0 stages0
1959m070 file0_rs0_skip0 stages0
1959m072 file0_rs0_skip0 stages0
1959m075 file0_rs0_skip0 stages0
1959p315 file0_rs0_skip0 stages0
1959p317 file0_rs0_skip0 stages0
1960m077 file0_rs0_skip0 stages0
1960m080 file0_rs0_skip0 stages0
1960m082 file0_rs0_skip0 stages0
1960m085 file0_rs0_skip0 stages0
1960m087 file0_rs0_skip0 stages0
1960m090 file0_rs0_skip0 stages0
1960p320 file0_rs0_skip0 stages0
1960p322 file0_rs0_skip0 stages0
1961m010 file0_rs0_skip0 stages0
1961m012 file0_rs0_skip0 stages0
1961m015 file0_rs0_skip0 stages0
1961m017 file0_rs0_skip0 stages0
1961m020 file0_rs0_skip0 stages0
1961m022 file0_rs0_skip0 stages0
1961m025 file0_rs0_skip0 stages0
1961m027 file0_rs0_skip0 stages0
1961m030 file0_rs0_skip0 stages0
1961m032 file0_rs0_skip0 stages0
1961m035 file0_rs0_skip0 stages0
1961p310 file0_rs0_skip0 stages0
1961p312 file0_rs0_skip0 stages0
1962m072 file0_rs0_skip0 stages0
1962m075 file0_rs0_skip0 stages0
1962m077 file0_rs0_skip0 stages0
1962m080 file0_rs0_skip0 stages0
1962m082 file0_rs0_skip0 stages0
1962m085 file0_rs0_skip0 stages0
1962p315 file0_rs0_skip0 stages0
1962p317 file0_rs0_skip0 stages0
1963m007 file0_rs0_skip0 stages0
1963m010 file0_rs0_skip0 stages0
1963m012 file0_rs0_skip0 stages0
1963m015 file0_rs0_skip0 stages0
1963m017 file0_rs0_skip0 stages0
1963m020 file0_rs0_skip0 stages0
